Product_Card_Id,Product_Image,Product_Name,Category_Id,Department_Id,Order_Item_Product_Price
1360,'http://images.acmesports.sports/Smart+watch ',Smart watch ,73,2,327.75
365,'http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck',Perfect Fitness Perfect Rip Deck,17,4,59.99000168
627,'http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe',Under Armour Girls' Toddler Spine Surge Runni,29,5,39.99000168
502,'http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo',Nike Men's Dri-FIT Victory Golf Polo,24,5,50
278,'http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide',Under Armour Men's Compression EV SL Slide,13,3,44.99000168
249,'http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe',Under Armour Women's Micro G Skulpt Running S,12,3,54.97000122
191,'http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe',Nike Men's Free 5.0+ Running Shoe,9,3,99.98999786
917,'http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag',Glove It Women's Mod Oval 3-Zip Carry All Gol,41,6,21.98999977
828,'http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...',Bridgestone e6 Straight Distance NFL San Dieg,37,6,31.98999977
642,'http://images.acmesports.sports/Columbia+Men%27s+PFG+Anchor+Tough+T-Shirt',Columbia Men's PFG Anchor Tough T-Shirt,29,5,30
818,'http://images.acmesports.sports/Titleist+Pro+V1x+Golf+Balls',Titleist Pro V1x Golf Balls,37,6,47.99000168
825,'http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Tennessee+Titans+Golf...',Bridgestone e6 Straight Distance NFL Tennesse,37,6,31.98999977
306,'http://images.acmesports.sports/Polar+FT4+Heart+Rate+Monitor',Polar FT4 Heart Rate Monitor,38,6,89.98999786
977,'http://images.acmesports.sports/ENO+Atlas+Hammock+Straps',ENO Atlas Hammock Straps,44,7,29.98999977
44,'http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat',adidas Men's F10 Messi TRX FG Soccer Cleat,3,2,59.99000168
251,'http://images.acmesports.sports/Brooks+Women%27s+Ghost+6+Running+Shoe',Brooks Women's Ghost 6 Running Shoe,12,3,89.98999786
403,'http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat',Nike Men's CJ Elite 2 TD Football Cleat,18,4,129.9900055
957,'http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014',Diamondback Women's Serene Classic Comfort Bi,43,7,299.980011
1352,'http://images.acmesports.sports/Industrial+consumer+electronics',Industrial consumer electronics,65,10,252.8800049
1349,'http://images.acmesports.sports/Web+Camera',Web Camera,62,10,452.0400085
1351,'http://images.acmesports.sports/Dell+Laptop',Dell Laptop,64,10,1500
60,'http://images.acmesports.sports/SOLE+E25+Elliptical',SOLE E25 Elliptical,4,2,999.9899902
24,'http://images.acmesports.sports/Elevation+Training+Mask+2.0',Elevation Training Mask 2.0,2,2,79.98999786
567,'http://images.acmesports.sports/adidas+Men%27s+Germany+Black+Crest+Away+Tee',adidas Men's Germany Black Crest Away Tee,26,5,25
893,'http://images.acmesports.sports/Team+Golf+Pittsburgh+Steelers+Putter+Grip',Team Golf Pittsburgh Steelers Putter Grip,40,6,24.98999977
924,'http://images.acmesports.sports/Glove+It+Urban+Brick+Golf+Towel',Glove It Urban Brick Golf Towel,41,6,15.98999977
905,'http://images.acmesports.sports/Team+Golf+Texas+Longhorns+Putter+Grip',Team Golf Texas Longhorns Putter Grip,40,6,24.98999977
564,'http://images.acmesports.sports/Nike+Men%27s+Deutschland+Weltmeister+Winners+Black+T-Shirt',Nike Men's Deutschland Weltmeister Winners Bl,26,5,30
885,'http://images.acmesports.sports/Team+Golf+St.+Louis+Cardinals+Putter+Grip',Team Golf St. Louis Cardinals Putter Grip,40,6,24.98999977
1363,'http://images.acmesports.sports/Summer+dresses',Summer dresses,76,4,215.8200073
1353,'http://images.acmesports.sports/Porcelain+crafts',Porcelain crafts,66,4,461.480011
1357,'http://images.acmesports.sports/Men+gala+suit',Men's gala suit,70,4,210.8500061
906,'http://images.acmesports.sports/Team+Golf+Tennessee+Volunteers+Putter+Grip',Team Golf Tennessee Volunteers Putter Grip,40,6,24.98999977
886,'http://images.acmesports.sports/Team+Golf+San+Francisco+Giants+Putter+Grip',Team Golf San Francisco Giants Putter Grip,40,6,24.98999977
926,'http://images.acmesports.sports/Glove+It+Imperial+Golf+Towel',Glove It Imperial Golf Towel,41,6,15.98999977
116,'http://images.acmesports.sports/Nike+Men%27s+Comfort+2+Slide',Nike Men's Comfort 2 Slide,6,2,44.99000168
235,'http://images.acmesports.sports/Under+Armour+Hustle+Storm+Medium+Duffle+Bag',Under Armour Hustle Storm Medium Duffle Bag,11,3,34.99000168
273,'http://images.acmesports.sports/Under+Armour+Kids%27+Mercenary+Slide',Under Armour Kids' Mercenary Slide,13,3,27.98999977
282,'http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+PIP+VI+Slide',Under Armour Women's Ignite PIP VI Slide,13,3,31.98999977
359,'http://images.acmesports.sports/Nike+Men%27s+Free+TR+5.0+TB+Training+Shoe',Nike Men's Free TR 5.0 TB Training Shoe,16,3,99.98999786
565,'http://images.acmesports.sports/adidas+Youth+Germany+Black%2FRed+Away+Match+Soccer+Jersey',adidas Youth Germany Black/Red Away Match Soc,26,5,70
572,'http://images.acmesports.sports/TYR+Boys%27+Team+Digi+Jammer',TYR Boys' Team Digi Jammer,26,5,39.99000168
804,'http://images.acmesports.sports/Glove+It+Women%27s+Imperial+Golf+Glove',Glove It Women's Imperial Golf Glove,36,6,19.98999977
822,'http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Golf+Balls',Titleist Pro V1x High Numbers Golf Balls,37,6,47.99000168
835,'http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Carolina+Panthers+Golf...',Bridgestone e6 Straight Distance NFL Carolina,37,6,31.98999977
276,'http://images.acmesports.sports/Under+Armour+Women%27s+Ignite+Slide',Under Armour Women's Ignite Slide,13,3,31.98999977
823,'http://images.acmesports.sports/Titleist+Pro+V1x+High+Numbers+Personalized+Golf+Balls',Titleist Pro V1x High Numbers Personalized Go,37,6,51.99000168
203,'http://images.acmesports.sports/GoPro+HERO3%2B+Black+Edition+Camera',GoPro HERO3+ Black Edition Camera,10,3,399.9899902
364,'http://images.acmesports.sports/Total+Gym+1400',Total Gym 1400,17,4,299.9899902
1350,'http://images.acmesports.sports/Children+heaters',Children's heaters,63,4,357.1000061
897,'http://images.acmesports.sports/Team+Golf+New+England+Patriots+Putter+Grip',Team Golf New England Patriots Putter Grip,40,6,24.98999977
37,'http://images.acmesports.sports/adidas+Kids%27+F5+Messi+FG+Soccer+Cleat',adidas Kids' F5 Messi FG Soccer Cleat,3,2,34.99000168
172,'http://images.acmesports.sports/Nike+Women%27s+Tempo+Shorts',Nike Women's Tempo Shorts,9,3,30
810,'http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+Golf+Glove',Glove It Women's Mod Oval Golf Glove,36,6,19.98999977
821,'http://images.acmesports.sports/Titleist+Pro+V1+High+Numbers+Personalized+Golf+Balls',Titleist Pro V1 High Numbers Personalized Gol,37,6,51.99000168
93,'http://images.acmesports.sports/Under+Armour+Men%27s+Tech+II+T-Shirt',Under Armour Men's Tech II T-Shirt,5,2,24.98999977
1347,'http://images.acmesports.sports/Baby+sweater',Baby sweater,60,4,59.08000183
305,'http://images.acmesports.sports/Mio+ALPHA+Heart+Rate+Monitor%2FSport+Watch',Mio ALPHA Heart Rate Monitor/Sport Watch,38,6,199
1004,'http://images.acmesports.sports/Field+%26+Stream+Sportsman+16+Gun+Fire+Safe',Field & Stream Sportsman 16 Gun Fire Safe,45,7,399.980011
1346,'http://images.acmesports.sports/Sports+Books',Sports Books ,59,8,31.07999992
58,'http://images.acmesports.sports/Diamondback+Boys%27+Insight+24+Performance+Hybrid+Bike+2014',Diamondback Boys' Insight 24 Performance Hybr,4,2,299.9899902
311,'http://images.acmesports.sports/Polar+Loop+Activity+Tracker',Polar Loop Activity Tracker,38,6,109.9499969
303,'http://images.acmesports.sports/Garmin+Forerunner+910XT+GPS+Watch',Garmin Forerunner 910XT GPS Watch,38,6,399.9899902
1354,'http://images.acmesports.sports/DVDs',DVDs ,67,9,164.3800049
1348,'http://images.acmesports.sports/CDs+of+rock',CDs of rock,61,9,11.28999996
78,'http://images.acmesports.sports/Nike+Kids%27+Grade+School+KD+VI+Basketball+Shoe',Nike Kids' Grade School KD VI Basketball Shoe,5,2,99.98999786
258,'http://images.acmesports.sports/Nike+Women%27s+Free+5.0+TR+FIT+PRT+4+Training+Shoe',Nike Women's Free 5.0 TR FIT PRT 4 Training S,12,3,94.98999786
797,'http://images.acmesports.sports/Hirzl+Women%27s+Soffft+Flex+Golf+Glove',Hirzl Women's Soffft Flex Golf Glove,36,6,17.98999977
981,'http://images.acmesports.sports/The+North+Face+Women%27s+Recon+Backpack',The North Face Women's Recon Backpack,44,7,99
1355,'http://images.acmesports.sports/Lawn+mower',Lawn mower,68,6,532.5800171
135,'http://images.acmesports.sports/Nike+Dri-FIT+Crew+Sock+6+Pack',Nike Dri-FIT Crew Sock 6 Pack,7,2,22
134,'http://images.acmesports.sports/Nike+Women%27s+Legend+V-Neck+T-Shirt',Nike Women's Legend V-Neck T-Shirt,7,2,25
845,'http://images.acmesports.sports/Garmin+Approach+S4+Golf+GPS+Watch',Garmin Approach S4 Golf GPS Watch,38,6,299.9899902
982,'http://images.acmesports.sports/insta-bed+Neverflat+Air+Mattress',insta-bed Neverflat Air Mattress,44,7,149.9900055
625,'http://images.acmesports.sports/Nike+Men%27s+Kobe+IX+Elite+Low+Basketball+Shoe',Nike Men's Kobe IX Elite Low Basketball Shoe,29,5,199.9900055
1359,'http://images.acmesports.sports/Adult+dog+supplies',Adult dog supplies,72,11,84.40000153
1356,'http://images.acmesports.sports/First+aid+kit',First aid kit,69,12,293.0400085
607,'http://images.acmesports.sports/Garmin+Approach+S3+Golf+GPS+Watch',Garmin Approach S3 Golf GPS Watch,41,6,249.9900055
1358,'http://images.acmesports.sports/Rock+music',Rock music,71,9,260.6499939
1362,'http://images.acmesports.sports/Fighting+video+games',Fighting video games,75,9,39.75
295,'http://images.acmesports.sports/Fitbit+The+One+Wireless+Activity+%26+Sleep+Tracker',Fitbit The One Wireless Activity & Sleep Trac,38,6,99.94999695
127,'http://images.acmesports.sports/Stiga+Master+Series+ST3100+Competition+Indoor+Table+Tennis...',Stiga Master Series ST3100 Competition Indoor,7,2,329.9899902
61,'http://images.acmesports.sports/Diamondback+Girls%27+Clarity+24+Hybrid+Bike+2014',Diamondback Girls' Clarity 24 Hybrid Bike 201,4,2,299.9899902
35,'http://images.acmesports.sports/adidas+Brazuca+2014+Official+Match+Ball',adidas Brazuca 2014 Official Match Ball,3,2,159.9900055
858,'http://images.acmesports.sports/GolfBuddy+VT3+GPS+Watch',GolfBuddy VT3 GPS Watch,38,6,199.9900055
